|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |      0.0074266023855959 | -1.3183967252876592e-13 | 0.0 |  -0.002542473901584996 | 0.0 | -4.1278044802373133e-07 |   8.288356922041346e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.3183967252876592e-13 |   5.794931924173381e-24 | 0.0 |  7.020879923756615e-14 | 0.0 | -5.0631047944707984e-17 |  -3.430119746882634e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.002542473901584996 |   7.020879923756615e-14 | 0.0 |  0.0012933652122236058 | 0.0 |   6.256934834460765e-08 |  -5.222453500157017e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -4.1278044802373133e-07 | -5.0631047944707984e-17 | 0.0 |  6.256934834460765e-08 | 0.0 |   5.389680310433212e-06 | -4.4989360946531064e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   8.288356922041346e-07 |  -3.430119746882634e-17 | 0.0 | -5.222453500157017e-07 | 0.0 | -4.4989360946531064e-08 |    3.85587835140704e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  0.0001158658198455934 | 1.0986719002219556e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.0986719002219556e-05 | 0.00013131204742414986 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
