|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |     0.00842845899648574 | -1.4905053769256884e-13 | 0.0 |   -0.003004973355949737 | 0.0 |    4.25190088006224e-07 | -2.915555501577405e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.4905053769256884e-13 |   6.141352435770356e-24 | 0.0 |   8.037284810612366e-14 | 0.0 |  -3.902663206559887e-17 |  4.832573534681297e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003004973355949737 |   8.037284810612366e-14 | 0.0 |   0.0015448829211721043 | 0.0 | -1.0263110332522013e-07 |  3.791906246533497e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |    4.25190088006224e-07 |  -3.902663206559887e-17 | 0.0 | -1.0263110332522013e-07 | 0.0 |  5.3140260007604795e-06 | -9.277516308637344e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -2.915555501577405e-07 |   4.832573534681297e-18 | 0.0 |   3.791906246533497e-07 | 0.0 |  -9.277516308637344e-08 |  3.904961835141406e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011613254549706595 |      9.76672154763e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |      9.76672154763e-06 | 0.00013279840620189457 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
