|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.009271732865757417 | -1.9079602949475027e-13 | 0.0 |   -0.003614513177349564 | 0.0 |  1.8658788210992517e-06 | 1.7495471354854282e-08 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.9079602949475027e-13 |   8.188085224897031e-24 | 0.0 |  1.0832994505783053e-13 | 0.0 | -2.9094694252474136e-18 |  2.708660330879705e-17 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003614513177349564 |  1.0832994505783053e-13 | 0.0 |    0.001965140006381393 | 0.0 | -1.3345072922450277e-08 | 2.8692288971571973e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  1.8658788210992517e-06 | -2.9094694252474136e-18 | 0.0 | -1.3345072922450277e-08 | 0.0 |   5.064873549604984e-06 |  7.645088901415803e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  1.7495471354854282e-08 |   2.708660330879705e-17 | 0.0 |  2.8692288971571973e-07 | 0.0 |   7.645088901415803e-08 |  4.046572819516885e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011342232942535135 | 8.103673867308891e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  8.103673867308891e-06 | 0.0001380000502019035 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
