|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                     8 |   9 |
|         Crablog.spectral.index |    0.008699326505697708 | -1.7872729570624425e-13 | 0.0 |  -0.003286788523470219 | 0.0 | -8.473739631450355e-07 |  1.237536571137964e-06 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.7872729570624425e-13 |   7.629583440965961e-24 | 0.0 |  9.818501994863026e-14 | 0.0 | -1.233554790986829e-17 |  7.776474731711363e-18 |                    0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.003286788523470219 |   9.818501994863026e-14 | 0.0 |  0.0017564742471385245 | 0.0 | 2.8164207370036223e-07 | -2.455460950721212e-07 |                    0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -8.473739631450355e-07 |  -1.233554790986829e-17 | 0.0 | 2.8164207370036223e-07 | 0.0 |  5.235334816828535e-06 |   3.66927439278309e-08 |                    0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   1.237536571137964e-06 |   7.776474731711363e-18 | 0.0 | -2.455460950721212e-07 | 0.0 |   3.66927439278309e-08 |  3.883432055991304e-06 |                    0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011490567424649825 | 9.933011022652078e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  9.933011022652078e-06 | 0.0001338761296303431 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 |
