|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                     7 |   8 |   9 |  10 |  11 |                     12 |                    13 |  14 |
|                Crablog.spectral.index |    0.015571250655072541 | -2.3021518812682145e-13 | 0.0 |  -0.004072011267261253 | 0.0 |  4.597562030233971e-06 | -4.468769730198092e-07 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -2.3021518812682145e-13 |   7.704921521205515e-24 | 0.0 |  9.654111124130654e-14 | 0.0 | -6.386808204353901e-17 |  4.024236966443162e-17 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |   -0.004072011267261253 |   9.654111124130654e-14 | 0.0 |  0.0017028316883982027 | 0.0 | -8.406108177274034e-07 |  2.001289622824482e-07 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   4.597562030233971e-06 |  -6.386808204353901e-17 | 0.0 | -8.406108177274034e-07 | 0.0 |  4.852772104726394e-06 | 1.6469746895466205e-07 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 |  -4.468769730198092e-07 |   4.024236966443162e-17 | 0.0 |  2.001289622824482e-07 | 0.0 | 1.6469746895466205e-07 |  4.021518037168313e-06 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0019230806801512508 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00011426843694432127 | 7.891803072443605e-06 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  7.891803072443605e-06 | 0.0001378045573059495 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                   0.0 | 0.0 |
