|                           Parameters |                       0 |   1 |                      2 |                      3 |                       4 |                       5 |                     6 |                     7 |   8 |                    9 |  10 |  11 |  12 |  13 |
|           Crablog.spectral.amplitude |   3.261751759502142e-22 | 0.0 | -3.225810667521432e-11 | 1.0629287534763566e-11 | -1.4891750919577095e-14 |  3.5376435645419477e-15 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha |  -3.225810667521432e-11 | 0.0 |     3.3209849833608307 |    -1.0704299325019628 |   0.0015207871437419107 |  -0.0003608037472660328 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta |  1.0629287534763566e-11 | 0.0 |    -1.0704299325019628 |     0.3581904377395997 |  -0.0004891418729504875 |  0.00011613654802943634 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -1.4891750919577095e-14 | 0.0 |  0.0015207871437419107 | -0.0004891418729504875 |  2.4719825800428742e-05 | -1.6776298452963002e-07 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 |  3.5376435645419477e-15 | 0.0 | -0.0003608037472660328 | 0.00011613654802943634 | -1.6776298452963002e-07 |  1.8039047979383238e-05 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Yv6cZnii-bkg.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0005142549943882368 | 4.249859866634538e-05 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Yv6cZnii-bkg.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 4.249859866634538e-05 | 0.0005980578033392012 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      Yv6cZnii-bkg.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       Yv6cZnii-irf.e_reco_model.bias |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.008879773098843973 | 0.0 | 0.0 | 0.0 | 0.0 |
| Yv6cZnii-irf.e_reco_model.resolution |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Yv6cZnii-irf.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Yv6cZnii-irf.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      Yv6cZnii-irf.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
