|                           Parameters |                       0 |   1 |                       2 |                       3 |                       4 |                       5 |                      6 |                      7 |   8 |                   9 |  10 |  11 |  12 |  13 |
|           Crablog.spectral.amplitude |  1.4675580329994675e-22 | 0.0 | -1.4728299267985733e-11 |    4.77616377679035e-12 |  -6.753237565261008e-15 |  1.6541294341570365e-15 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha | -1.4728299267985733e-11 | 0.0 |      1.5397031211774184 |    -0.48831040487303556 |   0.0007002954236693361 | -0.00017132847461711622 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta |    4.77616377679035e-12 | 0.0 |    -0.48831040487303556 |     0.16088554943654276 | -0.00022161160919325447 |  5.4258144600200914e-05 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -6.753237565261008e-15 | 0.0 |   0.0007002954236693361 | -0.00022161160919325447 |  1.1379907118625013e-05 |   -7.91516901490709e-08 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 |  1.6541294341570365e-15 | 0.0 | -0.00017132847461711622 |  5.4258144600200914e-05 |   -7.91516901490709e-08 |   8.306978897597131e-06 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           H1f6L52a-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.00023673642878979827 |  1.950080848502738e-05 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           H1f6L52a-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |  1.950080848502738e-05 | 0.00027557405932594796 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      H1f6L52a-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       H1f6L52a-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.00487321711172891 | 0.0 | 0.0 | 0.0 | 0.0 |
| H1f6L52a-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           H1f6L52a-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           H1f6L52a-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      H1f6L52a-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
