|                           Parameters |                       0 |   1 |                       2 |                       3 |                       4 |                       5 |                      6 |                      7 |   8 |                       9 |                    10 |                      11 |  12 |  13 |
|           Crablog.spectral.amplitude |   1.040269250105682e-24 | 0.0 |  -3.933496161845599e-14 |   7.058458032386507e-15 | -1.9062457212189075e-17 |  5.0389150252108804e-18 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha |  -3.933496161845599e-14 | 0.0 |     0.08560524467170061 |   -0.005329580683352414 |  3.8660845535644924e-05 | -1.0435366310422166e-05 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta |   7.058458032386507e-15 | 0.0 |   -0.005329580683352414 |   0.0008469377340710074 | -2.3236899342941966e-06 |    6.30434336413103e-07 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -1.9062457212189075e-17 | 0.0 |  3.8660845535644924e-05 | -2.3236899342941966e-06 |   9.584042263953254e-07 |  -4.799216290579287e-09 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 |  5.0389150252108804e-18 | 0.0 | -1.0435366310422166e-05 |    6.30434336413103e-07 |  -4.799216290579287e-09 |   7.062978351854883e-07 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|           CD1N0vBU-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 2.0069099130114433e-05 | 1.4707206655893747e-06 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|           CD1N0vBU-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 1.4707206655893747e-06 | 2.3620480309051762e-05 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|      CD1N0vBU-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|       CD1N0vBU-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |   3.297123737293699e-05 | 0.0036196485311051517 | -1.9320842737751228e-05 | 0.0 | 0.0 |
| CD1N0vBU-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |   0.0036196485311051517 |    0.4011203627393199 |   -0.001981028278702761 | 0.0 | 0.0 |
|           CD1N0vBU-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | -1.9320842737751228e-05 | -0.001981028278702761 |    0.000701821029643969 | 0.0 | 0.0 |
|           CD1N0vBU-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
|      CD1N0vBU-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |
