|                           Parameters |                       0 |   1 |                      2 |                      3 |                      4 |                       5 |                     6 |                     7 |   8 |                     9 |  10 |  11 |  12 |  13 |
|           Crablog.spectral.amplitude |  1.6557622940979998e-22 | 0.0 | -8.792959200276404e-12 |  3.192340667512964e-12 | -4.212465125443945e-14 | -2.7566668568854103e-16 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha |  -8.792959200276404e-12 | 0.0 |     0.7229172230572218 |   -0.12752202375260102 | -0.0037406927126740776 |  1.3866523890102724e-05 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta |   3.192340667512964e-12 | 0.0 |   -0.12752202375260102 |    0.15993764054613274 |  0.0002886138603945872 |  2.0226429851551043e-06 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -4.212465125443945e-14 | 0.0 | -0.0037406927126740776 |  0.0002886138603945872 |  0.0005520876568936238 |  3.1612843864386454e-06 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -2.7566668568854103e-16 | 0.0 | 1.3866523890102724e-05 | 2.0226429851551043e-06 | 3.1612843864386454e-06 |   6.927222208699537e-06 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PNpjI1lx-bkg.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |  0.010543240782683316 | -0.002200403966304897 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PNpjI1lx-bkg.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 | -0.002200403966304897 |  0.013178239967542506 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PNpjI1lx-bkg.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       PNpjI1lx-irf.e_reco_model.bias |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 3.737924954058518e-08 | 0.0 | 0.0 | 0.0 | 0.0 |
| PNpjI1lx-irf.e_reco_model.resolution |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PNpjI1lx-irf.spectral.norm |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PNpjI1lx-irf.spectral.tilt |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PNpjI1lx-irf.spectral.reference |                     0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
