|                           Parameters |                       0 |   1 |                       2 |                       3 |                       4 |                       5 |                      6 |                      7 |   8 |                     9 |  10 |  11 |  12 |  13 |
|           Crablog.spectral.amplitude |  1.0060221724651269e-23 | 0.0 | -2.2935923233081694e-13 |   2.773610004623054e-13 |  -8.110066812473297e-17 | -2.3357117158380314e-16 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha | -2.2935923233081694e-13 | 0.0 |    0.024706700910367294 |   -0.011635113939639214 | -1.9944255221195205e-06 |   7.369044608981219e-06 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta |   2.773610004623054e-13 | 0.0 |   -0.011635113939639214 |    0.015143604524845153 | -1.7412206145891927e-06 |  -6.916423594394465e-06 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 |  -8.110066812473297e-17 | 0.0 | -1.9944255221195205e-06 | -1.7412206145891927e-06 |  1.1451665597996397e-05 |   8.532878935862816e-08 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 | -2.3357117158380314e-16 | 0.0 |   7.369044608981219e-06 |  -6.916423594394465e-06 |   8.532878935862816e-08 |   8.671814522905021e-06 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           igyvq-wz-bkg.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |  0.0002500759020413898 | 1.8412646341360935e-05 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           igyvq-wz-bkg.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 1.8412646341360935e-05 |  0.0002889410139620028 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      igyvq-wz-bkg.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       igyvq-wz-irf.e_reco_model.bias |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 6.429825844708317e-05 | 0.0 | 0.0 | 0.0 | 0.0 |
| igyvq-wz-irf.e_reco_model.resolution |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           igyvq-wz-irf.spectral.norm |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           igyvq-wz-irf.spectral.tilt |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      igyvq-wz-irf.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
