|                           Parameters |                      0 |   1 |                     2 |                       3 |                       4 |                      5 |                      6 |                      7 |   8 |                   9 |  10 |  11 |  12 |  13 |
|           Crablog.spectral.amplitude |  7.334364591315713e-25 | 0.0 |  -7.8385668623438e-15 |  1.5904794951987292e-14 |  -9.304371876273255e-18 | 4.2459257322509794e-18 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Crablog.spectral.reference |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               Crablog.spectral.alpha |   -7.8385668623438e-15 | 0.0 |  0.000844386372008767 |   -0.000326260604857919 |   5.321195683336398e-08 |  8.572491005362207e-08 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spectral.beta | 1.5904794951987292e-14 | 0.0 | -0.000326260604857919 |   0.0008261426770801771 | -2.7181739999893232e-08 |  4.332736217143171e-08 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lon_0 | -9.304371876273255e-18 | 0.0 | 5.321195683336398e-08 | -2.7181739999893232e-08 |  1.1640272388322892e-06 | -2.717929813710152e-09 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                Crablog.spatial.lat_0 | 4.2459257322509794e-18 | 0.0 | 8.572491005362207e-08 |   4.332736217143171e-08 |  -2.717929813710152e-09 |  8.850838205908441e-07 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Oq-KuLgD-bkg.spectral.norm |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 | 2.4660216008999273e-05 | 1.8809860805213898e-06 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Oq-KuLgD-bkg.spectral.tilt |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 | 1.8809860805213898e-06 | 2.9362547708177156e-05 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      Oq-KuLgD-bkg.spectral.reference |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       Oq-KuLgD-irf.e_reco_model.bias |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.01004810758347505 | 0.0 | 0.0 | 0.0 | 0.0 |
| Oq-KuLgD-irf.e_reco_model.resolution |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Oq-KuLgD-irf.spectral.norm |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           Oq-KuLgD-irf.spectral.tilt |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      Oq-KuLgD-irf.spectral.reference |                    0.0 | 0.0 |                   0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
