|                     Parameters |                       0 |                       1 |   2 |                     3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |     0.08564182947963404 | -1.6619376429325116e-12 | 0.0 |  -0.03122982009680151 | 0.0 |   1.384128214631132e-06 |  -5.166847244332027e-07 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.6619376429325116e-12 |   6.736912254783029e-23 | 0.0 | 8.744722786616714e-13 | 0.0 |  -2.529571778382224e-16 |   9.422980368585087e-17 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |    -0.03122982009680151 |   8.744722786616714e-13 | 0.0 |   0.01605396167277543 | 0.0 |   7.762608966890747e-08 |   1.479883294038487e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   1.384128214631132e-06 |  -2.529571778382224e-16 | 0.0 | 7.762608966890747e-08 | 0.0 |   5.211111346363966e-05 | -1.3021088748585125e-08 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -5.166847244332027e-07 |   9.422980368585087e-17 | 0.0 | 1.479883294038487e-07 | 0.0 | -1.3021088748585125e-08 |   3.907614062163031e-05 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |  0.001153594793528892 | 9.472124416693944e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 9.472124416693944e-05 | 0.0013420856139862438 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
