|                            Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |  10 |  11 |                    12 |                     13 |  14 |
|                Crablog.spectral.index |      1.7015506307601216 | -3.234998939448962e-11 | 0.0 |      -0.607557653054323 | 0.0 |   3.516198729453022e-05 | -1.0259016726856241e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.amplitude |  -3.234998939448962e-11 | 1.3976967494322747e-21 | 0.0 |  1.7312221815278513e-11 | 0.0 |  -5.793876523693863e-15 |  1.8600565634145745e-15 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|              Crablog.spectral.lambda_ |      -0.607557653054323 | 1.7312221815278513e-11 | 0.0 |     0.31695081558411015 | 0.0 | -1.4910516250412406e-07 |  2.6993997608979637e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |   3.516198729453022e-05 | -5.793876523693863e-15 | 0.0 | -1.4910516250412406e-07 | 0.0 |   0.0011228687053694343 | -1.0708393569233561e-07 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.0259016726856241e-05 | 1.8600565634145745e-15 | 0.0 |  2.6993997608979637e-06 | 0.0 | -1.0708393569233561e-07 |   0.0008417774897616044 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  0.024853746521670394 | 0.0020319562045821794 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0020319562045821794 |   0.02891452178976701 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |  0.010000331790563814 |  4.167630378648463e-08 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 4.167630378648463e-08 | 0.00040002523191389784 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
