|                            Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                     7 |                     8 |   9 |  10 |  11 |                    12 |                    13 |  14 |
|                Crablog.spectral.index |     0.17780574083306072 | -3.3643778832776604e-12 | 0.0 |   -0.06410444628847828 | 0.0 |  3.5896872230391063e-06 | -1.0750672575173574e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.amplitude | -3.3643778832776604e-12 |  1.6965380355094077e-22 | 0.0 | 1.8198208422074193e-12 | 0.0 |  -5.779876961186774e-16 |   1.889867461580084e-16 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crablog.spectral.lambda_ |    -0.06410444628847828 |  1.8198208422074193e-12 | 0.0 |   0.033207805219502055 | 0.0 |  -6.301740546457922e-08 |  2.8889541315373503e-07 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lon_0 |  3.5896872230391063e-06 |  -5.779876961186774e-16 | 0.0 | -6.301740546457922e-08 | 0.0 |  0.00011230197096237427 | -1.1042079154931922e-08 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 Crablog.spatial.lat_0 | -1.0750672575173574e-06 |   1.889867461580084e-16 | 0.0 | 2.8889541315373503e-07 | 0.0 | -1.1042079154931922e-08 |   8.418930076211925e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  0.002485075647964712 | 0.0002013302223112443 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0002013302223112443 | 0.0028911218355940856 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      dataset_N-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       dataset_N-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| dataset_N-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           dataset_N-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |  0.010007294006597339 | 8.880444258862402e-07 | 0.0 |
|           dataset_N-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 8.880444258862402e-07 | 0.0004006386823057793 | 0.0 |
|      dataset_N-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
