|                           Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |  10 |  11 |                     12 |                     13 |  14 |
|              92gHQ4qx.spectral.index |   0.008508392545468757 |  -8.381747944690798e-14 | 0.0 | -0.0029105231106597877 | 0.0 |  1.5980312074353127e-07 |  -4.83505573792457e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          92gHQ4qx.spectral.amplitude | -8.381747944690798e-14 |   3.521212047201438e-23 | 0.0 |  8.472894387949114e-14 | 0.0 | -2.6927159875157542e-17 |  8.939983486962964e-18 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|          92gHQ4qx.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            92gHQ4qx.spectral.lambda_ | -0.0029105231106597877 |   8.472894387949114e-14 | 0.0 |    0.00151417250498008 | 0.0 |  -7.283339346270364e-10 | 1.2378478152227905e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              92gHQ4qx.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               92gHQ4qx.spatial.lon_0 | 1.5980312074353127e-07 | -2.6927159875157542e-17 | 0.0 | -7.283339346270364e-10 | 0.0 |   5.212902815569457e-06 | -5.471846544167046e-10 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|               92gHQ4qx.spatial.lat_0 |  -4.83505573792457e-08 |   8.939983486962964e-18 | 0.0 | 1.2378478152227905e-08 | 0.0 |  -5.471846544167046e-10 |  3.907905652752235e-06 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           kokdbab2-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011535186376177924 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           kokdbab2-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 | 0.00013420230149251603 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      kokdbab2-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       kokdbab2-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| kokdbab2-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           kokdbab2-irf.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |   0.010160137117898824 | 1.5938266184446354e-05 | 0.0 |
|           kokdbab2-irf.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 1.5938266184446354e-05 | 0.00041934474083458686 | 0.0 |
|      kokdbab2-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
