|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.0069086766137044404 | -1.2924886127196213e-13 | 0.0 |  -0.002328852982215153 | 0.0 |  1.4112221316617628e-06 |   5.928673590627006e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.2924886127196213e-13 |   5.580679767477554e-24 | 0.0 |  6.721857921753936e-14 | 0.0 | -4.8352290178074693e-17 | -1.0670922749156779e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.002328852982215153 |   6.721857921753936e-14 | 0.0 |  0.0012225947510912053 | 0.0 |   6.260211898889289e-09 |  -9.144670714267662e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  1.4112221316617628e-06 | -4.8352290178074693e-17 | 0.0 |  6.260211898889289e-09 | 0.0 |   5.233173251073395e-06 |   8.583306534704263e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   5.928673590627006e-07 | -1.0670922749156779e-17 | 0.0 | -9.144670714267662e-08 | 0.0 |   8.583306534704263e-08 |   3.792836330316427e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011584256690055843 | 1.1565283378196206e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 1.1565283378196206e-05 | 0.00013079940357748907 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
