|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.007627597673272242 | -1.425082242758759e-13 | 0.0 |  -0.002682834388610711 | 0.0 |  4.810047229029911e-07 | -7.456627849017513e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.425082242758759e-13 |  6.157923591303638e-24 | 0.0 |  7.614069353744308e-14 | 0.0 |  4.703332033921024e-18 |  -4.14123172480702e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.002682834388610711 |  7.614069353744308e-14 | 0.0 |  0.0013895919511226534 | 0.0 | 1.9679946459109027e-07 |  8.269267550688728e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  4.810047229029911e-07 |  4.703332033921024e-18 | 0.0 | 1.9679946459109027e-07 | 0.0 |  5.060125075134684e-06 | -5.244440647381657e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -7.456627849017513e-07 |  -4.14123172480702e-18 | 0.0 |  8.269267550688728e-08 | 0.0 | -5.244440647381657e-08 | 3.8250066917257146e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.00011740277113257755 | 1.1676499976905481e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 1.1676499976905481e-05 |  0.0001287439036387105 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
