|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |                     7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006094522938565676 | -1.0658443657911192e-13 | 0.0 |  -0.0019202637550251697 | 0.0 |  2.140793213984498e-07 |  1.4014632050458757e-07 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.0658443657911192e-13 |   5.182015405139938e-24 | 0.0 |   5.421573792200968e-14 | 0.0 | 1.6633641034988314e-17 |  1.1054300586070928e-17 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0019202637550251697 |   5.421573792200968e-14 | 0.0 |   0.0009272674740179288 | 0.0 | 2.8101052657646257e-07 | -1.3980265339669425e-08 |                   0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   2.140793213984498e-07 |  1.6633641034988314e-17 | 0.0 |  2.8101052657646257e-07 | 0.0 |  4.387741727415129e-06 |  -1.851790422374135e-08 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  1.4014632050458757e-07 |  1.1054300586070928e-17 | 0.0 | -1.3980265339669425e-08 | 0.0 | -1.851790422374135e-08 |  3.7364098239442474e-06 |                   0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0001162270974326793 |  9.056129617463004e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 9.056129617463004e-06 | 0.00013378309667107767 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
