|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.007281355367229709 | -1.3249546896119392e-13 | 0.0 | -0.0024706544213709525 | 0.0 | -4.6841284133230435e-07 | -5.064379372650081e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.3249546896119392e-13 |  5.2404128775165474e-24 | 0.0 |  6.832781449516896e-14 | 0.0 |  -5.320507529636226e-17 | 2.1781958874775487e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0024706544213709525 |   6.832781449516896e-14 | 0.0 |  0.0013258682746824463 | 0.0 |  2.5357481187918373e-08 | 2.1658376927902553e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -4.6841284133230435e-07 |  -5.320507529636226e-17 | 0.0 | 2.5357481187918373e-08 | 0.0 |   5.550265495759563e-06 | -6.139770452335067e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -5.064379372650081e-07 |  2.1781958874775487e-17 | 0.0 | 2.1658376927902553e-07 | 0.0 |  -6.139770452335067e-08 |  3.977351427072795e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011430158857621172 |   9.43511195922965e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |   9.43511195922965e-06 | 0.00013552504500628204 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
