|                            Parameters |                      0 |                       1 |   2 |                       3 |                      4 |                      5 |                     6 |   7 |   8 |   9 |                     10 |                     11 |  12 |
|               LyLFc-BS.spectral.index |   0.001679468317027682 |     6.2848329741296e-16 | 0.0 |  1.0419758308394828e-07 |  -9.87579817232973e-09 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           LyLFc-BS.spectral.amplitude |    6.2848329741296e-16 |  1.2105615715139604e-26 | 0.0 | -2.6421503886370377e-19 | 1.1466504833806106e-19 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           LyLFc-BS.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                LyLFc-BS.spatial.lon_0 | 1.0419758308394828e-07 | -2.6421503886370377e-19 | 0.0 |  3.3866726940766636e-06 | -8.147396762136707e-10 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                LyLFc-BS.spatial.lat_0 |  -9.87579817232973e-09 |  1.1466504833806106e-19 | 0.0 |  -8.147396762136707e-10 | 2.5447351459678443e-06 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00014746339157444132 |  6.40519375351897e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |   6.40519375351897e-05 | 0.0001941924715711212 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |   0.010126952346628316 | -2.084987417469987e-08 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -2.084987417469987e-08 | 0.00022436537143076947 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
