|                            Parameters |                      0 |                       1 |   2 |                       3 |                       4 |                      5 |                      6 |   7 |   8 |   9 |                      10 |                      11 |  12 |
|               LyLFc-BS.spectral.index |   0.003538245906602188 |  1.4717106641143128e-15 | 0.0 |  2.0421789451316247e-07 |  -5.270959875824071e-09 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           LyLFc-BS.spectral.amplitude | 1.4717106641143128e-15 |  1.3983235608493767e-26 | 0.0 | -1.0025869653503176e-18 |  3.2327178274606965e-19 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           LyLFc-BS.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                LyLFc-BS.spatial.lon_0 | 2.0421789451316247e-07 | -1.0025869653503176e-18 | 0.0 |   7.687926838714578e-06 | -1.5987009827359006e-09 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                LyLFc-BS.spatial.lat_0 | -5.270959875824071e-09 |  3.2327178274606965e-19 | 0.0 | -1.5987009827359006e-09 |   5.774585026444233e-06 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00014667596487740562 |  6.381068702763181e-05 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  6.381068702763181e-05 | 0.00019320662258377711 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |     0.01011844025080056 | -2.4887567141804494e-08 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | -2.4887567141804494e-08 |  0.00022460329025086984 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
