|                            Parameters |                      0 |                       1 |   2 |                      3 |                       4 |                     5 |                     6 |   7 |   8 |   9 |                      10 |                      11 |  12 |
|               AMdIGyyn.spectral.index |     0.4528649141219353 |  2.4833467897676307e-13 | 0.0 |  0.0010435025045448252 |   0.0030134233209014047 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude | 2.4833467897676307e-13 |   9.462488792654427e-25 | 0.0 | -4.209591000515678e-15 | -1.0644107716250178e-14 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 |  0.0010435025045448252 |  -4.209591000515678e-15 | 0.0 |  0.0022526059762385604 |  0.00015468757803443656 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 |  0.0030134233209014047 | -1.0644107716250178e-14 | 0.0 | 0.00015468757803443656 |   0.0023425323314853756 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 3.474072846255748e-05 | 2.839069896338269e-06 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 2.839069896338269e-06 | 4.051303129239603e-05 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |    0.010058630332702745 | -3.8665856341027007e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -3.8665856341027007e-07 |  0.00022494193806714793 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
