|                            Parameters |                      0 |                      1 |   2 |                      3 |                      4 |                      5 |                      6 |   7 |   8 |   9 |                      10 |                      11 |  12 |
|               AMdIGyyn.spectral.index |   0.018516103042307674 |  7.252310167939451e-15 | 0.0 | 4.5027999227007265e-06 |  5.016720369942711e-07 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude |  7.252310167939451e-15 |  3.295412637308288e-26 | 0.0 | -4.067064024358534e-17 |  4.115704730977691e-19 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 | 4.5027999227007265e-06 | -4.067064024358534e-17 | 0.0 |  5.843427368808427e-05 | 1.8112758085704544e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 |  5.016720369942711e-07 |  4.115704730977691e-19 | 0.0 | 1.8112758085704544e-08 |  4.363638214008264e-05 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  3.482414912361835e-05 | 2.8733448228954953e-06 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 2.8733448228954953e-06 |  4.062757225744578e-05 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |    0.010223730574968904 | -1.4494449348539146e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | -1.4494449348539146e-07 |   0.0002247398601422518 | 0.0 |
|      dataset N-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
