|                            Parameters |                     0 |   1 |   2 |                     3 |                     4 |                     5 |                     6 |   7 |   8 |   9 |                     10 |                     11 |  12 |
|               AMdIGyyn.spectral.index |   0.11821104514803923 | 0.0 | 0.0 | 0.0008613098679933833 | 0.0007716375145457064 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 | 0.0008613098679933833 | 0.0 | 0.0 |  0.003074861863775693 | 4.987660383722811e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 | 0.0007716375145457064 | 0.0 | 0.0 | 4.987660383722811e-05 | 0.0024290110633389058 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 3.474785701611446e-05 | 2.879129684352428e-06 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 2.879129684352428e-06 | 4.022693688258851e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |   0.009981303310640661 | 1.5152133244865802e-06 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 1.5152133244865802e-06 | 0.00022484141678199735 | 0.0 |
|      dataset N-irf.spectral.reference |                   0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
