|                            Parameters |                     0 |   1 |   2 |                      3 |                      4 |                      5 |                      6 |   7 |   8 |   9 |                    10 |                     11 |  12 |
|               AMdIGyyn.spectral.index |    0.3366852406298192 | 0.0 | 0.0 |   0.004871204272464996 |  0.0032986026002524427 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.amplitude |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           AMdIGyyn.spectral.reference |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lon_0 |  0.004871204272464996 | 0.0 | 0.0 |   0.008851006628893873 | 0.00036055891430854996 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|                AMdIGyyn.spatial.lat_0 | 0.0032986026002524427 | 0.0 | 0.0 | 0.00036055891430854996 |   0.006736371545128453 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 3.4662769087262606e-05 | 2.8617366907527903e-06 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|           dataset N-bkg.spectral.tilt |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 2.8617366907527903e-06 |   4.03475248165574e-05 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|      dataset N-bkg.spectral.reference |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|       dataset N-irf.e_reco_model.bias |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
| dataset N-irf.e_reco_model.resolution |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
|  dataset N-irf.spectral.norm_nuisance |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |  0.009990305649966695 |  8.037071390454293e-07 | 0.0 |
|  dataset N-irf.spectral.tilt_nuisance |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 8.037071390454293e-07 | 0.00022491709717048137 | 0.0 |
|      dataset N-irf.spectral.reference |                   0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |
