|                      Parameters |                      0 |                      1 |   2 |                       3 |   4 |                       5 |                      6 |                     7 |                     8 |   9 |
|             Crab.spectral.index |     1.4522018208661889 | -2.549903395896213e-11 | 0.0 |     -0.4710421718694163 | 0.0 |  4.3173447820547634e-05 | -8.734031492357673e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crab.spectral.amplitude | -2.549903395896213e-11 |  1.102541301111236e-21 | 0.0 |  1.2902616099880046e-11 | 0.0 |  -5.975712175616008e-15 | 1.5740043997177581e-15 |                   0.0 |                   0.0 | 0.0 |
|         Crab.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|           Crab.spectral.lambda_ |    -0.4710421718694163 | 1.2902616099880046e-11 | 0.0 |     0.23566988292971466 | 0.0 | -2.6393697110318273e-06 | 2.9472049520886163e-06 |                   0.0 |                   0.0 | 0.0 |
|             Crab.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crab.spatial.lon_0 | 4.3173447820547634e-05 | -5.975712175616008e-15 | 0.0 | -2.6393697110318273e-06 | 0.0 |   0.0011088282815343155 | -7.197467290271947e-08 |                   0.0 |                   0.0 | 0.0 |
|              Crab.spatial.lat_0 | -8.734031492357673e-06 | 1.5740043997177581e-15 | 0.0 |  2.9472049520886163e-06 | 0.0 |  -7.197467290271947e-08 |  0.0008312177402635062 |                   0.0 |                   0.0 | 0.0 |
|      R-xf6POO-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  0.024854177558695456 | 0.0020141666735049267 | 0.0 |
|      R-xf6POO-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0020141666735049267 |  0.028917609993117876 | 0.0 |
| R-xf6POO-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
