|                      Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|             Crab.spectral.index |    0.006326755463424287 |  -1.041833908034298e-13 | 0.0 | -0.0019240409028277495 | 0.0 | -1.2319799795275505e-06 | -1.3321020632255099e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crab.spectral.amplitude |  -1.041833908034298e-13 |   4.428569292254941e-24 | 0.0 |  5.020012565430594e-14 | 0.0 | -1.7867075026481837e-17 |   3.955363573274545e-19 |                    0.0 |                    0.0 | 0.0 |
|         Crab.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|           Crab.spectral.lambda_ |  -0.0019240409028277495 |   5.020012565430594e-14 | 0.0 |  0.0009318588976838139 | 0.0 |   4.331979728353878e-07 |    1.14083166229362e-07 |                    0.0 |                    0.0 | 0.0 |
|             Crab.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crab.spatial.lon_0 | -1.2319799795275505e-06 | -1.7867075026481837e-17 | 0.0 |  4.331979728353878e-07 | 0.0 |   5.230959890371451e-06 |  1.0358457310250184e-07 |                    0.0 |                    0.0 | 0.0 |
|              Crab.spatial.lat_0 | -1.3321020632255099e-07 |   3.955363573274545e-19 | 0.0 |   1.14083166229362e-07 | 0.0 |  1.0358457310250184e-07 |  3.8943513012173256e-06 |                    0.0 |                    0.0 | 0.0 |
|      abNkamDg-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011557243803759881 |  8.913818954868937e-06 | 0.0 |
|      abNkamDg-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  8.913818954868937e-06 | 0.00013425331229415078 | 0.0 |
| abNkamDg-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
