|                      Parameters |                      0 |                      1 |                      2 |                       3 |   4 |   5 |                       6 |                      7 |                    8 |                    9 |  10 |
|       Crabbreak.spectral.index1 |     20.631215517880616 |     0.7513384415817297 | -8.855814467287978e-09 |      3.4896166844370047 | 0.0 | 0.0 |  -6.269454070468583e-05 | 1.0640891871687143e-05 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.index2 |     0.7513384415817297 |     1.0863381361340756 | -8.516025063524646e-10 |      1.0164403837123406 | 0.0 | 0.0 |  2.5602711083784008e-05 |  2.685896171810505e-07 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | -8.855814467287978e-09 | -8.516025063524646e-10 |  4.697694224369423e-18 |  -2.598969702305842e-09 | 0.0 | 0.0 |   9.123940931580437e-15 |   3.47557813423717e-16 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.ebreak |     3.4896166844370047 |     1.0164403837123406 | -2.598969702305842e-09 |      2.0498783502908267 | 0.0 | 0.0 | -2.9242420894927136e-05 |  7.887186057366073e-06 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.reference |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spectral.beta |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | -6.269454070468583e-05 | 2.5602711083784008e-05 |  9.123940931580437e-15 | -2.9242420894927136e-05 | 0.0 | 0.0 |   0.0009696014519034409 | -6.399400581722245e-08 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 1.0640891871687143e-05 |  2.685896171810505e-07 |   3.47557813423717e-16 |   7.887186057366073e-06 | 0.0 | 0.0 |  -6.399400581722245e-08 |  0.0007267832304182695 |                  0.0 |                  0.0 | 0.0 |
|      WJQLCRG7-bkg.spectral.norm |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.024617217051041564 | 0.001981208858565111 | 0.0 |
|      WJQLCRG7-bkg.spectral.tilt |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.001981208858565111 | 0.028621161443173816 | 0.0 |
| WJQLCRG7-bkg.spectral.reference |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
