|                      Parameters |                      0 |                       1 |                       2 |                       3 |   4 |   5 |                       6 |                      7 |                    8 |                    9 |  10 |
|       Crabbreak.spectral.index1 |      9.602010845353687 |     0.30555605061456853 |  -4.072491366248635e-09 |      1.5551273428896595 | 0.0 | 0.0 |  -2.405753485972973e-05 |   3.64966776535574e-06 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.index2 |    0.30555605061456853 |      0.5294845031265232 | -4.0573892228017256e-10 |       0.503653089160175 | 0.0 | 0.0 |   1.180033846331837e-05 | 1.5704611082311254e-07 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | -4.072491366248635e-09 | -4.0573892228017256e-10 |   2.177711963731296e-18 | -1.2167042862823398e-09 | 0.0 | 0.0 |  2.1856064336422125e-15 |  6.394119174520592e-16 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.ebreak |     1.5551273428896595 |       0.503653089160175 | -1.2167042862823398e-09 |      0.9912316152751278 | 0.0 | 0.0 | -1.2873955428598386e-05 | 3.6241844854790428e-06 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.reference |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spectral.beta |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | -2.405753485972973e-05 |   1.180033846331837e-05 |  2.1856064336422125e-15 | -1.2873955428598386e-05 | 0.0 | 0.0 |  0.00045037573591278116 | -2.942297625131855e-08 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 |   3.64966776535574e-06 |  1.5704611082311254e-07 |   6.394119174520592e-16 |  3.6241844854790428e-06 | 0.0 | 0.0 |  -2.942297625131855e-08 |  0.0003375873666227416 |                  0.0 |                  0.0 | 0.0 |
|      3Akk6d3k-bkg.spectral.norm |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.011434856010740131 | 0.000921532813279279 | 0.0 |
|      3Akk6d3k-bkg.spectral.tilt |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.000921532813279279 | 0.013294844851766971 | 0.0 |
| 3Akk6d3k-bkg.spectral.reference |                    0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                  0.0 |                  0.0 | 0.0 |
