|                      Parameters |                       0 |                       1 |                       2 |                      3 |   4 |   5 |                      6 |                      7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 |       4.468458083383563 |     0.15886074926666852 | -1.9177686670429693e-09 |     0.7548568639501596 | 0.0 | 0.0 | -1.791979538277472e-05 |   -2.4533813578254e-06 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 |     0.15886074926666852 |      0.2305339336990543 | -1.7859180898013322e-10 |    0.21362154306861855 | 0.0 | 0.0 | 1.2445907339313689e-05 |  6.173727348598271e-06 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | -1.9177686670429693e-09 | -1.7859180898013322e-10 |   1.013490365116523e-18 | -5.571886422539374e-10 | 0.0 | 0.0 | 1.9355677283307747e-15 |  3.397001490906416e-16 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak |      0.7548568639501596 |     0.21362154306861855 |  -5.571886422539374e-10 |    0.43621904747079265 | 0.0 | 0.0 | -8.416413479721682e-06 | -8.669877453946597e-07 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 |  -1.791979538277472e-05 |  1.2445907339313689e-05 |  1.9355677283307747e-15 | -8.416413479721682e-06 | 0.0 | 0.0 |  0.0002080305603216465 |  3.219687986100356e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 |    -2.4533813578254e-06 |   6.173727348598271e-06 |   3.397001490906416e-16 | -8.669877453946597e-07 | 0.0 | 0.0 |  3.219687986100356e-07 |  0.0001556963161468498 |                   0.0 |                   0.0 | 0.0 |
|      7ZfMB7m--bkg.spectral.norm |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |  0.005298308754361608 | 0.0003761425817830333 | 0.0 |
|      7ZfMB7m--bkg.spectral.tilt |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0003761425817830333 | 0.0061608325220262284 | 0.0 |
| 7ZfMB7m--bkg.spectral.reference |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
