|                      Parameters |                      0 |                      1 |                      2 |                       3 |   4 |   5 |                       6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 |     2.0572020314643886 |    0.06479144029871252 | -8.752869169684491e-10 |      0.3360149789136307 | 0.0 | 0.0 |  -5.423862877232752e-06 |   6.616138947752494e-07 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 |    0.06479144029871252 |    0.11297237671898447 | -8.630938614172565e-11 |      0.1073090679012545 | 0.0 | 0.0 |  2.6900898812565666e-06 |   1.954417995725191e-07 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | -8.752869169684491e-10 | -8.630938614172565e-11 |  4.694498746047761e-19 |  -2.627540107422999e-10 | 0.0 | 0.0 |   5.336923126414652e-16 |  1.4956160708187543e-16 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak |     0.3360149789136307 |     0.1073090679012545 | -2.627540107422999e-10 |      0.2135719593337708 | 0.0 | 0.0 | -2.8488004801643966e-06 |   6.918631669379205e-07 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | -5.423862877232752e-06 | 2.6900898812565666e-06 |  5.336923126414652e-16 | -2.8488004801643966e-06 | 0.0 | 0.0 |    9.70558028154302e-05 | -3.0492727333620166e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 |  6.616138947752494e-07 |  1.954417995725191e-07 | 1.4956160708187543e-16 |   6.918631669379205e-07 | 0.0 | 0.0 | -3.0492727333620166e-09 |   7.274746645258709e-05 |                    0.0 |                    0.0 | 0.0 |
|      4-VO9q-h-bkg.spectral.norm |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |  0.0024640125791640663 | 0.00019886833416616769 | 0.0 |
|      4-VO9q-h-bkg.spectral.tilt |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.00019886833416616769 |  0.0028647958277176573 | 0.0 |
| 4-VO9q-h-bkg.spectral.reference |                    0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
