|                           Parameters |                      0 |                      1 |                       2 |                       3 |   4 |   5 |                       6 |                       7 |                      8 |                      9 |  10 |  11 |  12 |                    13 |                    14 |  15 |
|            Crabbreak.spectral.index1 |     1.9291255918459598 |    0.05216482582460227 |  -8.044364860865947e-10 |     0.29884557168370696 | 0.0 | 0.0 |  -4.854263682326372e-06 |  1.1820437907226903e-06 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crabbreak.spectral.index2 |    0.05216482582460227 |     0.1096537326601641 |  -7.693021317283479e-11 |     0.10045051514063141 | 0.0 | 0.0 |  2.7221859666394443e-06 |  1.6181659703696194e-07 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.amplitude | -8.044364860865947e-10 | -7.693021317283479e-11 |  4.2900268049951075e-19 | -2.3884531494883384e-10 | 0.0 | 0.0 |  2.1688949113914986e-16 | -2.4207750362813976e-16 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|            Crabbreak.spectral.ebreak |    0.29884557168370696 |    0.10045051514063141 | -2.3884531494883384e-10 |     0.19823979873252923 | 0.0 | 0.0 | -2.5414845199368273e-06 |  1.0757957426085855e-06 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.reference |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crabbreak.spectral.beta |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crabbreak.spatial.lon_0 | -4.854263682326372e-06 | 2.7221859666394443e-06 |  2.1688949113914986e-16 | -2.5414845199368273e-06 | 0.0 | 0.0 |   9.702207794630149e-05 |  -5.511266874060607e-09 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|              Crabbreak.spatial.lat_0 | 1.1820437907226903e-06 | 1.6181659703696194e-07 | -2.4207750362813976e-16 |  1.0757957426085855e-06 | 0.0 | 0.0 |  -5.511266874060607e-09 |   7.272405074221631e-05 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           IFZ5fwHs-bkg.spectral.norm |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |  0.0024623762170311587 | 0.00019806916170026683 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           IFZ5fwHs-bkg.spectral.tilt |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.00019806916170026683 |  0.0028628797599659895 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|      IFZ5fwHs-bkg.spectral.reference |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|       IFZ5fwHs-irf.e_reco_model.bias |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| IFZ5fwHs-irf.e_reco_model.resolution |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|           IFZ5fwHs-irf.spectral.norm |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |   0.00987485988807543 | 2.173473286625839e-07 | 0.0 |
|           IFZ5fwHs-irf.spectral.tilt |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 2.173473286625839e-07 |  0.000395893626549105 | 0.0 |
|      IFZ5fwHs-irf.spectral.reference |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
