|                      Parameters |                       0 |                       1 |                       2 |                      3 |   4 |   5 |                      6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 |     0.03446490031486506 |    0.017476436305592064 | -7.0256026821639595e-12 |     0.2071397835605777 | 0.0 | 0.0 | 7.6226265585270625e-06 | -1.2057011349735657e-05 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 |    0.017476436305592064 |     0.04962998839950321 | -1.0204110999621982e-11 |     0.2898172519305575 | 0.0 | 0.0 |  1.485087859189461e-06 | -1.3152848974752438e-06 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | -7.0256026821639595e-12 | -1.0204110999621982e-11 |  2.6500163732400747e-21 | -7.625453448383411e-11 | 0.0 | 0.0 | -1.135978511137798e-15 |  1.5008013670333042e-15 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak |      0.2071397835605777 |      0.2898172519305575 |  -7.625453448383411e-11 |     2.1991083755611505 | 0.0 | 0.0 |  3.728455021249041e-05 |  -5.186237093263208e-05 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 |  7.6226265585270625e-06 |   1.485087859189461e-06 |  -1.135978511137798e-15 |  3.728455021249041e-05 | 0.0 | 0.0 |   4.50007991122085e-06 |  1.2875175788915715e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | -1.2057011349735657e-05 | -1.3152848974752438e-06 |  1.5008013670333042e-15 | -5.186237093263208e-05 | 0.0 | 0.0 | 1.2875175788915715e-07 |  3.1105781905416384e-06 |                    0.0 |                    0.0 | 0.0 |
|      PRjHEkHu-bkg.spectral.norm |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |  0.0001077638662384833 | -3.419483362539886e-06 | 0.0 |
|      PRjHEkHu-bkg.spectral.tilt |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | -3.419483362539886e-06 | 0.00010961866095658937 | 0.0 |
| PRjHEkHu-bkg.spectral.reference |                     0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
