|                      Parameters |   0 |                       1 |                       2 |                       3 |   4 |   5 |                      6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.003921482571220659 | -4.0671793598520374e-12 |    0.005567207146042311 | 0.0 | 0.0 |  1.448327863745899e-07 |   6.40641349213101e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | -4.0671793598520374e-12 |   5.340286045330087e-21 | -6.9560835452222246e-12 | 0.0 | 0.0 | -7.315441659568767e-17 | 1.4829347796866172e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |    0.005567207146042311 | -6.9560835452222246e-12 |     0.00917941596936302 | 0.0 | 0.0 |  7.049456938057633e-08 | 1.0838486124981434e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |   1.448327863745899e-07 |  -7.315441659568767e-17 |   7.049456938057633e-08 | 0.0 | 0.0 |  9.768888235132417e-07 | 1.1759952237502265e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |    6.40641349213101e-08 |  1.4829347796866172e-17 |  1.0838486124981434e-08 | 0.0 | 0.0 | 1.1759952237502265e-09 |  7.313050427469548e-07 |                    0.0 |                    0.0 | 0.0 |
|      DDsMdR6N-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |  2.488149910872021e-05 | 2.0231352986016595e-06 | 0.0 |
|      DDsMdR6N-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 2.0231352986016595e-06 |  2.893216987411129e-05 | 0.0 |
| DDsMdR6N-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
