|                      Parameters |   0 |                       1 |                       2 |                       3 |   4 |   5 |                       6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.016962470337779874 | -1.7922597929812786e-11 |    0.024313828888641396 | 0.0 | 0.0 |   1.643682947004147e-07 |   8.013919352550115e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | -1.7922597929812786e-11 |   2.431597983808035e-20 | -3.1333855966306924e-11 | 0.0 | 0.0 |  -6.781393063956682e-17 | -1.6296169031496004e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |    0.024313828888641396 | -3.1333855966306924e-11 |     0.04091529480820599 | 0.0 | 0.0 | -1.4883824256578548e-07 |  4.0453251460978745e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |   1.643682947004147e-07 |  -6.781393063956682e-17 | -1.4883824256578548e-07 | 0.0 | 0.0 |   4.544673846097197e-06 |  1.8219916839914979e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |   8.013919352550115e-08 | -1.6296169031496004e-17 |  4.0453251460978745e-08 | 0.0 | 0.0 |  1.8219916839914979e-09 |  3.4051571620246913e-06 |                    0.0 |                    0.0 | 0.0 |
|      EwluG8G2-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011536433506358364 |  8.548302671093031e-06 | 0.0 |
|      EwluG8G2-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |  8.548302671093031e-06 | 0.00013415055393119427 | 0.0 |
| EwluG8G2-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
