|                      Parameters |   0 |                       1 |                       2 |                      3 |   4 |   5 |                       6 |                       7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |       2.597000265869522 | -3.3353179648148536e-10 |     3.2342347579562722 | 0.0 | 0.0 |    0.000562314048116835 |   0.0008698835594880013 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | -3.3353179648148536e-10 |   5.167615054981845e-20 | -4.898519753536762e-10 | 0.0 | 0.0 | -1.8279762605985962e-13 | -1.5784443103615344e-13 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |      3.2342347579562722 |  -4.898519753536762e-10 |      4.732290803457335 | 0.0 | 0.0 |   0.0017274704212865875 |   0.0014815752303651791 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |    0.000562314048116835 | -1.8279762605985962e-13 |  0.0017274704212865875 | 0.0 | 0.0 |  0.00027831066291303765 |  3.1277180274769583e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |   0.0008698835594880013 | -1.5784443103615344e-13 |  0.0014815752303651791 | 0.0 | 0.0 |  3.1277180274769583e-06 |  0.00011082191556124089 |                   0.0 |                   0.0 | 0.0 |
|      mVlVSwJ4-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |  0.005033170995971326 | 0.0007204375553439693 | 0.0 |
|      mVlVSwJ4-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0007204375553439693 |  0.006323661739595608 | 0.0 |
| mVlVSwJ4-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
