|                      Parameters |   0 |                      1 |                       2 |                       3 |   4 |   5 |                       6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.22742135171115227 |  -7.311756504553702e-11 |     0.37407881808497434 | 0.0 | 0.0 |   4.702740584081316e-05 |  1.8383306233406007e-05 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | -7.311756504553702e-11 |   3.044987491625031e-20 | -1.4898287212721455e-10 | 0.0 | 0.0 | -1.9964922425075182e-14 |  -6.965972885332271e-15 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |    0.37407881808497434 | -1.4898287212721455e-10 |      0.7414845662876769 | 0.0 | 0.0 |  0.00010220249117342701 |   3.086856655573691e-05 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  4.702740584081316e-05 | -1.9964922425075182e-14 |  0.00010220249117342701 | 0.0 | 0.0 |   4.416116316581537e-05 | -1.7448596403432247e-06 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | 1.8383306233406007e-05 |  -6.965972885332271e-15 |   3.086856655573691e-05 | 0.0 | 0.0 | -1.7448596403432247e-06 |   3.045854952256958e-05 |                    0.0 |                    0.0 | 0.0 |
|      yEm8b15R-bkg.spectral.norm | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |  0.0011268409876470568 | 0.00012532483219649857 | 0.0 |
|      yEm8b15R-bkg.spectral.tilt | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.00012532483219649857 |  0.0013405145368637795 | 0.0 |
| yEm8b15R-bkg.spectral.reference | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
