|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                      6 |                     7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |     0.6835246577383636 |   9.57470225142866e-10 | 0.0 | 0.0 |     3.8822419079907635 | 3.2078105497870294e-05 | 1.316692413694733e-05 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |   9.57470225142866e-10 | 1.5242995752825782e-18 | 0.0 | 0.0 |  6.334105841357678e-09 |  1.554906866333679e-14 | 9.485432693979755e-15 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     3.8822419079907635 |  6.334105841357678e-09 | 0.0 | 0.0 |     26.579204423023263 | 0.00010748818870056144 | 4.419703896960544e-05 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | 3.2078105497870294e-05 |  1.554906866333679e-14 | 0.0 | 0.0 | 0.00010748818870056144 | 0.00021014259316560831 | 3.287505438131505e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  1.316692413694733e-05 |  9.485432693979755e-15 | 0.0 | 0.0 |  4.419703896960544e-05 |  3.287505438131505e-07 | 0.0001572764347082024 |                    0.0 |                    0.0 | 0.0 |
|      ripukCqe-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |  0.0053525743620428945 | 0.00038350232078052294 | 0.0 |
|      ripukCqe-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.00038350232078052294 |   0.006223978703456856 | 0.0 |
| ripukCqe-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 |                    0.0 | 0.0 |
