|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                       5 |                       6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |     0.3631223853462232 |  5.182098528302426e-10 | 0.0 | 0.0 |       2.109392691704134 |   7.831302729466695e-06 |  -7.478085638964978e-07 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  5.182098528302426e-10 |  8.261632246871753e-19 | 0.0 | 0.0 |  3.4342266622751872e-09 |  2.8620517317545723e-15 |  -8.843836079530746e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |      2.109392691704134 | 3.4342266622751872e-09 | 0.0 | 0.0 |       14.39531874861621 |   2.600211107962419e-05 | -4.1466818278436515e-06 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  7.831302729466695e-06 | 2.8620517317545723e-15 | 0.0 | 0.0 |   2.600211107962419e-05 |    9.80010500533105e-05 | -3.1188475308252762e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -7.478085638964978e-07 | -8.843836079530746e-17 | 0.0 | 0.0 | -4.1466818278436515e-06 | -3.1188475308252762e-09 |   7.345587439561564e-05 |                    0.0 |                    0.0 | 0.0 |
|      JL75rQtZ-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |  0.0024882921085726557 | 0.00020262814104062755 | 0.0 |
|      JL75rQtZ-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.00020262814104062755 |  0.0028930429689640546 | 0.0 |
| JL75rQtZ-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
