|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                       5 |                      6 |                       7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |     0.1949004715560293 |  2.830483086194165e-10 | 0.0 | 0.0 |       1.156356614226755 |  3.972565752496344e-06 |  -1.353150434304653e-07 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  2.830483086194165e-10 |  4.520874838372478e-19 | 0.0 | 0.0 |  1.8801441554382817e-09 |  1.664524366687289e-15 |   1.072044414070658e-16 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |      1.156356614226755 | 1.8801441554382817e-09 | 0.0 | 0.0 |       7.874802835485285 | 1.3633614715185275e-05 | -1.1309722364790835e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  3.972565752496344e-06 |  1.664524366687289e-15 | 0.0 | 0.0 |  1.3633614715185275e-05 | 4.5454238134159095e-05 |   5.485646329238912e-10 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -1.353150434304653e-07 |  1.072044414070658e-16 | 0.0 | 0.0 | -1.1309722364790835e-06 |  5.485646329238912e-10 |  3.4069132876544906e-05 |                   0.0 |                   0.0 | 0.0 |
|      ZxrCHqRK-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0011549027334471814 | 9.411556051802104e-05 | 0.0 |
|      ZxrCHqRK-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 9.411556051802104e-05 | 0.0013428186008525322 | 0.0 |
| ZxrCHqRK-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
