|                      Parameters |   0 |                     1 |                      2 |   3 |   4 |                      5 |                      6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 | 0.0041562989842299685 |  6.034057357059969e-12 | 0.0 | 0.0 |   0.024569550066230496 |  1.824489048339606e-07 |  5.700072826259358e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | 6.034057357059969e-12 |  9.650449932173039e-21 | 0.0 | 0.0 |  4.001917096680398e-11 |  1.102029119087001e-16 | 2.1791647628119388e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |  0.024569550066230496 |  4.001917096680398e-11 | 0.0 | 0.0 |    0.16715961020667028 |  5.371519349166598e-07 | -4.713592351204484e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | 1.824489048339606e-07 |  1.102029119087001e-16 | 0.0 | 0.0 |  5.371519349166598e-07 |  9.768921605215038e-07 | 1.1754236527942099e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | 5.700072826259358e-08 | 2.1791647628119388e-17 | 0.0 | 0.0 | -4.713592351204484e-09 | 1.1754236527942099e-09 |  7.313052653275388e-07 |                    0.0 |                    0.0 | 0.0 |
|      C38oaKPw-bkg.spectral.norm | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 2.4883241796837427e-05 |  2.022804857354196e-06 | 0.0 |
|      C38oaKPw-bkg.spectral.tilt | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |  2.022804857354196e-06 | 2.8930059090811514e-05 | 0.0 |
| C38oaKPw-bkg.spectral.reference | 0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
