|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                      6 |                      7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |   0.008301999215844428 | 1.1989634183478306e-11 | 0.0 | 0.0 |     0.0489332684405879 | 2.4585643046481396e-07 |  6.792151674931035e-08 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | 1.1989634183478306e-11 | 1.9223743951444593e-20 | 0.0 | 0.0 |   8.00143176561172e-11 |  9.605303034714585e-17 | 4.7284006144644145e-17 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     0.0489332684405879 |   8.00143176561172e-11 | 0.0 | 0.0 |    0.33563450286399527 |  7.810207153980007e-07 | 1.9455814080824862e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | 2.4585643046481396e-07 |  9.605303034714585e-17 | 0.0 | 0.0 |  7.810207153980007e-07 |  2.107604868116114e-06 |  1.516056323231544e-09 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  6.792151674931035e-08 | 4.7284006144644145e-17 | 0.0 | 0.0 | 1.9455814080824862e-07 |  1.516056323231544e-09 | 1.5786802698700739e-06 |                   0.0 |                   0.0 | 0.0 |
|      eb1S0sPM-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 5.353420914189475e-05 | 3.893251420650766e-06 | 0.0 |
|      eb1S0sPM-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 3.893251420650766e-06 |  6.22505620142241e-05 | 0.0 |
| eb1S0sPM-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
