|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                      6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |   0.001056253870836062 | 1.5748780076216752e-12 | 0.0 | 0.0 |   0.006481747126929586 |  3.036361365936715e-08 | 1.8907931776554033e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | 1.5748780076216752e-12 |  2.547871720855524e-21 | 0.0 | 0.0 | 1.0645370759604937e-11 | 4.5376583159860755e-18 |  1.145900443834262e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |   0.006481747126929586 | 1.0645370759604937e-11 | 0.0 | 0.0 |     0.0447395423784611 |  3.179817912448004e-08 | 2.4456793686847925e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  3.036361365936715e-08 | 4.5376583159860755e-18 | 0.0 | 0.0 |  3.179817912448004e-08 | 2.1005421777139082e-07 |  3.854773349084903e-10 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | 1.8907931776554033e-08 |  1.145900443834262e-17 | 0.0 | 0.0 | 2.4456793686847925e-08 |  3.854773349084903e-10 | 1.5713603800941214e-07 |                    0.0 |                    0.0 | 0.0 |
|      WfkGT9iQ-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |  5.360327537398339e-06 | 4.3240953201027455e-07 | 0.0 |
|      WfkGT9iQ-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 4.3240953201027455e-07 | 6.2322217142644725e-06 | 0.0 |
| WfkGT9iQ-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
