|                      Parameters |   0 |                      1 |                       2 |   3 |   4 |                      5 |                       6 |                       7 |                    8 |                    9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |  6.723268102465145e-07 |  2.2121731110428148e-16 | 0.0 | 0.0 |  4.471238794084527e-06 |   7.482146455658963e-08 |  -8.535179691297435e-11 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | 2.2121731110428148e-16 |  1.9375718209280426e-19 | 0.0 | 0.0 |  4.486760975410057e-09 | -2.2323153011778494e-15 | -2.4708794136724765e-14 |                  0.0 |                  0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |  4.471238794084527e-06 |   4.486760975410057e-09 | 0.0 | 0.0 |     105.51535131246877 |  0.00024281986642833952 |  -0.0005770152892413151 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  7.482146455658963e-08 | -2.2323153011778494e-15 | 0.0 | 0.0 | 0.00024281986642833952 |   6.638977748144366e-05 |  -4.210673688389835e-08 |                  0.0 |                  0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -8.535179691297435e-11 | -2.4708794136724765e-14 | 0.0 | 0.0 | -0.0005770152892413151 |  -4.210673688389835e-08 |   5.433171041911065e-09 |                  0.0 |                  0.0 | 0.0 |
|      EiTz29Sx-bkg.spectral.norm | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.023404106962425255 | 0.002201906127512485 | 0.0 |
|      EiTz29Sx-bkg.spectral.tilt | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.002201906127512485 |  0.02948392027444973 | 0.0 |
| EiTz29Sx-bkg.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                  0.0 |                  0.0 | 0.0 |
