|                      Parameters |   0 |                       1 |                       2 |   3 |   4 |                       5 |                       6 |                       7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |      0.2360100638933725 |  2.3122526528852885e-11 | 0.0 | 0.0 |     -0.1611212616635133 | -0.00018058250329471074 |    7.46558259466184e-05 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  2.3122526528852885e-11 |  1.2684416185295598e-20 | 0.0 | 0.0 |  1.2995884500134767e-12 |   4.081328451280573e-15 | -2.1499562587424956e-15 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     -0.1611212616635133 |  1.2995884500134767e-12 | 0.0 | 0.0 |       0.355504004055838 |  2.0992732474991703e-05 | -1.4500174575252713e-05 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | -0.00018058250329471074 |   4.081328451280573e-15 | 0.0 | 0.0 |  2.0992732474991703e-05 |   3.311335088362846e-06 |   2.992728413468658e-08 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |    7.46558259466184e-05 | -2.1499562587424956e-15 | 0.0 | 0.0 | -1.4500174575252713e-05 |   2.992728413468658e-08 |  1.2235433601766902e-06 |                   0.0 |                   0.0 | 0.0 |
|      BILLDST8-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |   0.01388517000962806 | 0.0018449979714630499 | 0.0 |
|      BILLDST8-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0018449979714630499 |  0.017146825662007044 | 0.0 |
| BILLDST8-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
