|                      Parameters |   0 |                       1 |                       2 |   3 |   4 |                      5 |                       6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |      0.2090285608808053 |   2.335895192736368e-10 | 0.0 | 0.0 |     0.9715827776997094 | -3.0707419358394916e-05 | -2.610375003875899e-05 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |   2.335895192736368e-10 |   3.187928891272953e-19 | 0.0 | 0.0 | 1.3853517899040186e-09 | -1.0250169003657429e-14 | 2.1679428976606864e-15 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |      0.9715827776997094 |  1.3853517899040186e-09 | 0.0 | 0.0 |      6.138564607719006 |  -4.923413056715517e-05 |  3.281376934964602e-05 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | -3.0707419358394916e-05 | -1.0250169003657429e-14 | 0.0 | 0.0 | -4.923413056715517e-05 |  0.00011655518754688533 | -7.757705557346657e-06 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  -2.610375003875899e-05 |  2.1679428976606864e-15 | 0.0 | 0.0 |  3.281376934964602e-05 |  -7.757705557346657e-06 |  7.007417900213337e-05 |                    0.0 |                    0.0 | 0.0 |
|      qGPNj1pO-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |   0.002702485637741484 | 0.00022414114480654693 | 0.0 |
|      qGPNj1pO-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 0.00022414114480654693 |  0.0026171905736214374 | 0.0 |
| qGPNj1pO-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
