|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                       6 |                       7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.06479266104710159 |  5.624034957767151e-09 | 0.0 | 0.0 |    0.46224695715747227 |  0.00012285871970075932 |   6.237515709001864e-05 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  5.624034957767151e-09 | 1.5378692237080784e-15 | 0.0 | 0.0 | 1.3756891587244594e-07 |   3.275464847687251e-11 |   1.820864770915413e-11 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |    0.46224695715747227 | 1.3756891587244594e-07 | 0.0 | 0.0 |     12.362205651265024 |    0.002522785124116473 |   0.0013941088814000268 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | 0.00012285871970075932 |  3.275464847687251e-11 | 0.0 | 0.0 |   0.002522785124116473 |    4.21609205679645e-05 | -3.2801711347202635e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  6.237515709001864e-05 |  1.820864770915413e-11 | 0.0 | 0.0 |  0.0013941088814000268 | -3.2801711347202635e-06 |  4.0384489778366476e-05 |                   0.0 |                   0.0 | 0.0 |
|      FSXYzXHr-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0010717101579075065 | 0.0001134972401703902 | 0.0 |
|      FSXYzXHr-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0001134972401703902 | 0.0012510949666809897 | 0.0 |
| FSXYzXHr-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
