|                      Parameters |   0 |                      1 |                       2 |   3 |   4 |                      5 |                       6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.05254302605456746 |   1.437879539756899e-11 | 0.0 | 0.0 |    0.19967006106577243 |  -6.189271595602346e-06 | 2.6876883491077317e-06 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  1.437879539756899e-11 |   4.208108047415007e-21 | 0.0 | 0.0 |  5.986001380291493e-11 | -1.8359866791552048e-15 | 1.1560169652426045e-15 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |    0.19967006106577243 |   5.986001380291493e-11 | 0.0 | 0.0 |     0.8911699879889557 |  -2.299111493058469e-05 |  1.496010783170093e-05 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | -6.189271595602346e-06 | -1.8359866791552048e-15 | 0.0 | 0.0 | -2.299111493058469e-05 |  2.3022047284485674e-05 |  5.160759511507889e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | 2.6876883491077317e-06 |  1.1560169652426045e-15 | 0.0 | 0.0 |  1.496010783170093e-05 |   5.160759511507889e-07 |  1.692475124668252e-05 |                    0.0 |                    0.0 | 0.0 |
|      5JxRD3iK-bkg.spectral.norm | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |  0.0005160635827420643 | 3.2256590180307935e-05 | 0.0 |
|      5JxRD3iK-bkg.spectral.tilt | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 3.2256590180307935e-05 |  0.0006621989607556672 | 0.0 |
| 5JxRD3iK-bkg.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
