|                      Parameters |   0 |                       1 |                       2 |   3 |   4 |                      5 |                       6 |                      7 |                     8 |                     9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.021587829455922608 |    2.43210569355989e-10 | 0.0 | 0.0 |    0.07212951073626131 | -3.3800378027717452e-06 | -4.711144365037119e-06 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |    2.43210569355989e-10 |  1.1570089973248525e-17 | 0.0 | 0.0 |   4.17354083115207e-09 | -1.2383039280661249e-14 | 1.9464721639179233e-14 |                   0.0 |                   0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     0.07212951073626131 |    4.17354083115207e-09 | 0.0 | 0.0 |     1.5314616520902709 |   5.436861982382271e-07 | 1.5048345818682305e-05 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 | -3.3800378027717452e-06 | -1.2383039280661249e-14 | 0.0 | 0.0 |  5.436861982382271e-07 |   2.137030692019214e-05 | -6.435215764807019e-07 |                   0.0 |                   0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  -4.711144365037119e-06 |  1.9464721639179233e-14 | 0.0 | 0.0 | 1.5048345818682305e-05 |  -6.435215764807019e-07 | 1.6668241875972044e-05 |                   0.0 |                   0.0 | 0.0 |
|      Jep_v6bU-bkg.spectral.norm | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |    0.0005539544274978 | 6.022388317031477e-05 | 0.0 |
|      Jep_v6bU-bkg.spectral.tilt | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 | 6.022388317031477e-05 | 0.0005827323018991016 | 0.0 |
| Jep_v6bU-bkg.spectral.reference | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
