|                      Parameters |   0 |                       1 |                      2 |   3 |   4 |                       5 |                      6 |                       7 |                     8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |   0.0014651967320768733 | 1.5175805765035211e-12 | 0.0 | 0.0 |     0.00811547994570148 |  6.871909156820857e-09 | -3.7609088215821104e-09 |                   0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  1.5175805765035211e-12 | 1.6081353229734727e-21 | 0.0 | 0.0 |   8.642519776134638e-12 | 1.2298966205281534e-18 |  -2.820018504859848e-18 |                   0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     0.00811547994570148 |  8.642519776134638e-12 | 0.0 | 0.0 |     0.04657055109880657 | 1.8429201089873938e-08 | -1.9286581872246373e-08 |                   0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |   6.871909156820857e-09 | 1.2298966205281534e-18 | 0.0 | 0.0 |  1.8429201089873938e-08 |  9.836319045094818e-08 |   5.001643386688393e-10 |                   0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -3.7609088215821104e-09 | -2.820018504859848e-18 | 0.0 | 0.0 | -1.9286581872246373e-08 |  5.001643386688393e-10 |   7.370652721986849e-08 |                   0.0 |                    0.0 | 0.0 |
|      19FXPlxG-bkg.spectral.norm | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 2.489888331416342e-06 |  2.054264472488275e-07 | 0.0 |
|      19FXPlxG-bkg.spectral.tilt | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 2.054264472488275e-07 | 2.8906022217421434e-06 | 0.0 |
| 19FXPlxG-bkg.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
