|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                      6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |  0.0044988895292215805 | 3.9692550534139626e-12 | 0.0 | 0.0 |   0.022871893587394655 |  4.161145172968564e-08 |  2.956265232796347e-08 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 | 3.9692550534139626e-12 | 3.6183474251001535e-21 | 0.0 | 0.0 | 2.1011307492341008e-11 |  2.876797009608202e-17 |  3.086293739449453e-17 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |   0.022871893587394655 | 2.1011307492341008e-11 | 0.0 | 0.0 |    0.12258775204223472 |   2.55424808681511e-07 | 1.6664375400940056e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  4.161145172968564e-08 |  2.876797009608202e-17 | 0.0 | 0.0 |   2.55424808681511e-07 |  4.574577734967326e-07 | 3.2396939007800652e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 |  2.956265232796347e-08 |  3.086293739449453e-17 | 0.0 | 0.0 | 1.6664375400940056e-07 | 3.2396939007800652e-09 |  3.445821777950313e-07 |                    0.0 |                    0.0 | 0.0 |
|      LlqpK-Rz-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 1.1603119939933945e-05 | 1.0047176914254509e-06 | 0.0 |
|      LlqpK-Rz-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 1.0047176914254509e-06 | 1.3280449822584634e-05 | 0.0 |
| LlqpK-Rz-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
