|                      Parameters |   0 |                      1 |                      2 |   3 |   4 |                      5 |                      6 |                      7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |  0.0013447743333490406 |  6.742055460017906e-11 | 0.0 | 0.0 |   0.022893863128912423 |  -8.72336437812806e-07 | -3.814367142471436e-07 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  6.742055460017906e-11 |  4.371146023464779e-18 | 0.0 | 0.0 | 1.5034230383152672e-09 | -9.188011470768497e-14 | -3.748890820214056e-14 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |   0.022893863128912423 | 1.5034230383152672e-09 | 0.0 | 0.0 |     0.5176164723901465 | -3.250224752094081e-05 | -1.327627416195096e-05 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |  -8.72336437812806e-07 | -9.188011470768497e-14 | 0.0 | 0.0 | -3.250224752094081e-05 |  4.356547358387789e-07 | -5.623161682042437e-09 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -3.814367142471436e-07 | -3.748890820214056e-14 | 0.0 | 0.0 | -1.327627416195096e-05 | -5.623161682042437e-09 | 3.3830124592624516e-07 |                    0.0 |                    0.0 | 0.0 |
|      jJbFNrOv-bkg.spectral.norm | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 1.1257584843045535e-05 | 1.3657271695517986e-06 | 0.0 |
|      jJbFNrOv-bkg.spectral.tilt | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 1.3657271695517986e-06 | 1.2714924383060979e-05 | 0.0 |
| jJbFNrOv-bkg.spectral.reference | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
