|                      Parameters |   0 |                       1 |                      2 |   3 |   4 |                      5 |                      6 |                       7 |                      8 |                      9 |  10 |
|       Crabbreak.spectral.index1 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.index2 | 0.0 |    0.002100107908959303 | 2.6566555812088843e-12 | 0.0 | 0.0 |    0.01250136665705813 |  1.686517715203605e-08 | -3.6756989487675134e-09 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.amplitude | 0.0 |  2.6566555812088843e-12 | 3.4876214626136734e-21 | 0.0 | 0.0 | 1.6532452677513464e-11 | 3.9308261734635246e-18 |   3.326391035695832e-18 |                    0.0 |                    0.0 | 0.0 |
|       Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|    Crabbreak.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.beta | 0.0 |     0.01250136665705813 | 1.6532452677513464e-11 | 0.0 | 0.0 |      0.078630879367661 | 4.0071078809531365e-08 |  1.1950122232303934e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lon_0 | 0.0 |   1.686517715203605e-08 | 3.9308261734635246e-18 | 0.0 | 0.0 | 4.0071078809531365e-08 | 2.1136016658224182e-07 |  -1.761200209071118e-10 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spatial.lat_0 | 0.0 | -3.6756989487675134e-09 |  3.326391035695832e-18 | 0.0 | 0.0 | 1.1950122232303934e-08 | -1.761200209071118e-10 |  1.5759633592075528e-07 |                    0.0 |                    0.0 | 0.0 |
|      eChSiFP0-bkg.spectral.norm | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |  5.351505969849239e-06 | 4.2417339802344027e-07 | 0.0 |
|      eChSiFP0-bkg.spectral.tilt | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 4.2417339802344027e-07 | 6.2672779533899275e-06 | 0.0 |
| eChSiFP0-bkg.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
