|                           Parameters |   0 |                     1 |                       2 |   3 |   4 |                      5 |                      6 |                       7 |                     8 |                     9 |  10 |  11 |  12 |                     13 |                     14 |  15 |
|            Crabbreak.spectral.index1 | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crabbreak.spectral.index2 | 0.0 |   0.03260667088005478 |   1.288263960202066e-09 | 0.0 | 0.0 |    0.41897668324037707 |  4.789542260721015e-05 |    -3.0466006909235e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.amplitude | 0.0 | 1.288263960202066e-09 |   7.961225058996766e-17 | 0.0 | 0.0 | 2.6508397094456484e-08 | 5.3630402910673835e-12 | -2.5281347445967617e-12 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crabbreak.spectral.ebreak | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.reference | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spectral.beta | 0.0 |   0.41897668324037707 |  2.6508397094456484e-08 | 0.0 | 0.0 |      8.864248629618249 |  0.0016716395887373641 |  -0.0007729309847977331 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spatial.lon_0 | 0.0 | 4.789542260721015e-05 |  5.3630402910673835e-12 | 0.0 | 0.0 |  0.0016716395887373641 | 1.6406363297334827e-05 |   7.445030951641644e-07 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spatial.lat_0 | 0.0 |  -3.0466006909235e-05 | -2.5281347445967617e-12 | 0.0 | 0.0 | -0.0007729309847977331 |  7.445030951641644e-07 |  1.5856200107200706e-05 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           SDgLBOPk-bkg.spectral.norm | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0005469992117204818 | 6.785226603807548e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           SDgLBOPk-bkg.spectral.tilt | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 6.785226603807548e-05 | 0.0005720017121566028 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      SDgLBOPk-bkg.spectral.reference | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       SDgLBOPk-irf.e_reco_model.bias | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| SDgLBOPk-irf.e_reco_model.resolution | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           SDgLBOPk-irf.spectral.norm | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |   0.009024869952305153 | -3.978814234044391e-06 | 0.0 |
|           SDgLBOPk-irf.spectral.tilt | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -3.978814234044391e-06 |    0.00039995170126115 | 0.0 |
|      SDgLBOPk-irf.spectral.reference | 0.0 |                   0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
