|                           Parameters |   0 |                      1 |                       2 |   3 |   4 |                      5 |                      6 |                       7 |                      8 |                      9 |  10 |  11 |  12 |                     13 |                     14 |  15 |
|            Crabbreak.spectral.index1 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crabbreak.spectral.index2 | 0.0 |    0.02698625978605776 |  1.7295833161358624e-09 | 0.0 | 0.0 |      0.442007931311898 | -8.931212389628936e-05 |  -2.516689793160955e-05 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.amplitude | 0.0 | 1.7295833161358624e-09 |   1.396173145806059e-16 | 0.0 | 0.0 | 3.6141672122252307e-08 |  -9.45977854738833e-12 | -2.9452114725472453e-12 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|            Crabbreak.spectral.ebreak | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         Crabbreak.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spectral.beta | 0.0 |      0.442007931311898 |  3.6141672122252307e-08 | 0.0 | 0.0 |      9.394752042982994 | -0.0024494173559493062 |  -0.0007601915914902744 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spatial.lon_0 | 0.0 | -8.931212389628936e-05 |   -9.45977854738833e-12 | 0.0 | 0.0 | -0.0024494173559493062 |   8.47081371287538e-06 |   2.105378667934157e-08 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              Crabbreak.spatial.lat_0 | 0.0 | -2.516689793160955e-05 | -2.9452114725472453e-12 | 0.0 | 0.0 | -0.0007601915914902744 |  2.105378667934157e-08 |   6.184505790698783e-06 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Gexcdbxm-bkg.spectral.norm | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.00024836007883621077 | 2.1029952605987983e-05 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Gexcdbxm-bkg.spectral.tilt | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 2.1029952605987983e-05 | 0.00028393502471910087 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      Gexcdbxm-bkg.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|       Gexcdbxm-irf.e_reco_model.bias | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
| Gexcdbxm-irf.e_reco_model.resolution | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|           Gexcdbxm-irf.spectral.norm | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |     0.0096185576332934 | 2.6115984268019087e-06 | 0.0 |
|           Gexcdbxm-irf.spectral.tilt | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 2.6115984268019087e-06 |  0.0003999099857446872 | 0.0 |
|      Gexcdbxm-irf.spectral.reference | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
