|                           Parameters |   0 |                       1 |                      2 |   3 |   4 |                     5 |                      6 |                       7 |                     8 |                     9 |  10 |  11 |  12 |                      13 |                      14 |  15 |
|            Crabbreak.spectral.index1 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Crabbreak.spectral.index2 | 0.0 |    0.027447374139936025 |  6.257809862170435e-11 | 0.0 | 0.0 |    0.1595141929827795 |  5.200146610990604e-06 | -1.3678028369854398e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|         Crabbreak.spectral.amplitude | 0.0 |   6.257809862170435e-11 | 1.7862242581067806e-19 | 0.0 | 0.0 | 4.637707354435861e-10 | 1.2795013356732396e-14 |   4.991243722075898e-16 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Crabbreak.spectral.ebreak | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|         Crabbreak.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              Crabbreak.spectral.beta | 0.0 |      0.1595141929827795 |  4.637707354435861e-10 | 0.0 | 0.0 |    1.2354640496054352 |  3.598775833850591e-05 |   3.149041891344616e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              Crabbreak.spatial.lon_0 | 0.0 |   5.200146610990604e-06 | 1.2795013356732396e-14 | 0.0 | 0.0 | 3.598775833850591e-05 |   8.48142198782483e-06 |   2.354347940642272e-07 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              Crabbreak.spatial.lat_0 | 0.0 | -1.3678028369854398e-06 |  4.991243722075898e-16 | 0.0 | 0.0 | 3.149041891344616e-06 |  2.354347940642272e-07 |   7.911440102385475e-06 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           w8axoxr3-bkg.spectral.norm | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 | 0.0002560140484015813 | 9.502899274505918e-06 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           w8axoxr3-bkg.spectral.tilt | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 | 9.502899274505918e-06 | 0.0002960041847783727 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      w8axoxr3-bkg.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|       w8axoxr3-irf.e_reco_model.bias | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
| w8axoxr3-irf.e_reco_model.resolution | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|           w8axoxr3-irf.spectral.norm | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |    0.010091962304106956 | -3.2924151042233115e-06 | 0.0 |
|           w8axoxr3-irf.spectral.tilt | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | -3.2924151042233115e-06 |   0.0004000012979200055 | 0.0 |
|      w8axoxr3-irf.spectral.reference | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
