|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |       0.852712858962949 | -1.6496319219810387e-11 | 0.0 |     -0.3102146183299397 | 0.0 |   6.287370091358376e-05 | 2.3254297993911002e-05 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.6496319219810387e-11 |    6.69182677298672e-22 | 0.0 |   8.670189726339058e-12 | 0.0 |  -3.968405804322884e-15 |  5.141262621704308e-16 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |     -0.3102146183299397 |   8.670189726339058e-12 | 0.0 |     0.15930915401594495 | 0.0 | -2.0590611690078338e-05 | -5.722898429364832e-06 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   6.287370091358376e-05 |  -3.968405804322884e-15 | 0.0 | -2.0590611690078338e-05 | 0.0 |   0.0005205970555804525 | 3.2491038922775985e-07 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  2.3254297993911002e-05 |   5.141262621704308e-16 | 0.0 |  -5.722898429364832e-06 | 0.0 |  3.2491038922775985e-07 |  0.0003894272772364574 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  0.011505464408735917 | 0.0009485170633621006 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0009485170633621006 |  0.013384274226517135 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                   0.0 |                   0.0 | 0.0 |
