|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.009679931455985159 | -1.9037505487472488e-13 | 0.0 |  -0.0037633377667607723 | 0.0 |  -3.623748481844192e-08 | -7.867927611481753e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.9037505487472488e-13 |   7.820696818826073e-24 | 0.0 |  1.0847104053768603e-13 | 0.0 | -5.4945167335792365e-17 |  2.989741220214826e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0037633377667607723 |  1.0847104053768603e-13 | 0.0 |   0.0020677103975077823 | 0.0 | -2.9137413145350153e-08 |  4.848319426675715e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -3.623748481844192e-08 | -5.4945167335792365e-17 | 0.0 | -2.9137413145350153e-08 | 0.0 |   5.395158755397846e-06 |  5.602271277272382e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |  -7.867927611481753e-07 |   2.989741220214826e-17 | 0.0 |   4.848319426675715e-07 | 0.0 |   5.602271277272382e-08 |  4.171765894562214e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011627112241638933 |  9.001610659624835e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |  9.001610659624835e-06 | 0.00013354915639392342 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
