|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                     7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006561106770595339 | -1.1700872389874452e-13 | 0.0 |    -0.00212322215194072 | 0.0 |  1.2624057649180674e-06 | -2.5437051922073064e-07 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.1700872389874452e-13 |   5.232408244602142e-24 | 0.0 |    5.97943805278147e-14 | 0.0 |   -9.80811382201516e-18 |  1.0430937008640091e-17 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |    -0.00212322215194072 |    5.97943805278147e-14 | 0.0 |   0.0010732352052471262 | 0.0 | -1.5476883515931656e-07 |   2.885197637532534e-07 |                   0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  1.2624057649180674e-06 |   -9.80811382201516e-18 | 0.0 | -1.5476883515931656e-07 | 0.0 |   4.989920681934524e-06 | -1.6901741315595753e-07 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -2.5437051922073064e-07 |  1.0430937008640091e-17 | 0.0 |   2.885197637532534e-07 | 0.0 | -1.6901741315595753e-07 |   3.878989210631092e-06 |                   0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  0.000117110097263709 |  8.643750064758569e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 8.643750064758569e-06 | 0.00013305532993917289 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                   0.0 |                    0.0 | 0.0 |
