|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                      5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.006397459006507341 | -9.819575995637881e-14 | 0.0 | -0.0019614138949898565 | 0.0 |  5.702019864552771e-07 | -1.7268759124478484e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -9.819575995637881e-14 |  4.454931960518584e-24 | 0.0 |  4.964007714344969e-14 | 0.0 | -6.906408777064947e-18 |   1.503260371514995e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0019614138949898565 |  4.964007714344969e-14 | 0.0 |   0.000933574966032172 | 0.0 | 4.6841738447460725e-08 |   7.954916490863743e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   5.702019864552771e-07 | -6.906408777064947e-18 | 0.0 | 4.6841738447460725e-08 | 0.0 |  5.213292933923944e-06 |   4.646097514925895e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.7268759124478484e-07 |  1.503260371514995e-17 | 0.0 |  7.954916490863743e-08 | 0.0 |  4.646097514925895e-08 |    3.65204865988643e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.00011377394609462598 | 1.1302375588323232e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 1.1302375588323232e-05 |  0.0001332169902960607 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
