|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |      0.0069877026704171 |  -8.996481809640699e-14 | 0.0 | -0.0020613828174607294 | 0.0 |  4.7231975809551403e-07 | -1.1101384865406275e-06 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -8.996481809640699e-14 |   3.777604485587441e-24 | 0.0 |  4.524516595947691e-14 | 0.0 | -2.0050169193037757e-17 |   1.636542198807329e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0020613828174607294 |   4.524516595947691e-14 | 0.0 |  0.0009575466799541367 | 0.0 |   3.332194403454931e-08 |  2.2695618464869014e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  4.7231975809551403e-07 | -2.0050169193037757e-17 | 0.0 |  3.332194403454931e-08 | 0.0 |   5.546531884312613e-06 |   7.481872375378417e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.1101384865406275e-06 |   1.636542198807329e-17 | 0.0 | 2.2695618464869014e-07 | 0.0 |   7.481872375378417e-08 |  4.1852115392192034e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011466962991262046 |  8.018220863058108e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |  8.018220863058108e-06 | 0.00013669385660667198 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
