|                     Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.009220908058552992 |  -1.682495753377627e-13 | 0.0 |  -0.0034582766057678817 | 0.0 |   5.053501344880842e-07 | -1.1133066226865391e-06 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -1.682495753377627e-13 |   6.682552266485796e-24 | 0.0 |   9.376367312400836e-14 | 0.0 |  -4.488658994457634e-17 | -1.8829900457536303e-18 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0034582766057678817 |   9.376367312400836e-14 | 0.0 |   0.0018576937010473878 | 0.0 | -3.7650582379302556e-07 |   8.738607322573965e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   5.053501344880842e-07 |  -4.488658994457634e-17 | 0.0 | -3.7650582379302556e-07 | 0.0 |   5.529498581964076e-06 |  -5.717811277295357e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -1.1133066226865391e-06 | -1.8829900457536303e-18 | 0.0 |   8.738607322573965e-08 | 0.0 |  -5.717811277295357e-08 |  4.3657953051307675e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.00011666954553834664 |  8.347470269244458e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |  8.347470269244458e-06 | 0.00013363757241363863 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 |                    0.0 | 0.0 |
