|                     Parameters |                       0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |    0.007343601690347141 | -1.2788036047101117e-13 | 0.0 | -0.0024599680610681946 | 0.0 |  -2.279370070417887e-08 |  8.887186491447056e-07 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -1.2788036047101117e-13 |  5.4575287177300686e-24 | 0.0 |  6.719040366452889e-14 | 0.0 | -1.6927909945132128e-17 | -2.410656946866591e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.0024599680610681946 |   6.719040366452889e-14 | 0.0 |  0.0012669082874396194 | 0.0 |  1.3180726079666135e-08 | -4.061455826834046e-07 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  -2.279370070417887e-08 | -1.6927909945132128e-17 | 0.0 | 1.3180726079666135e-08 | 0.0 |  5.7466595968155055e-06 | -3.288372175049394e-08 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 |   8.887186491447056e-07 |  -2.410656946866591e-17 | 0.0 | -4.061455826834046e-07 | 0.0 |  -3.288372175049394e-08 |  3.981554111959689e-06 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.00011753013812413239 |  8.966566103294032e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |  8.966566103294032e-06 | 0.00013255025566247833 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
