|                     Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                     7 |                      8 |   9 |
|         Crablog.spectral.index |   0.010605729927103388 | -2.546123920426441e-13 | 0.0 |  -0.004598811207523884 | 0.0 | -5.546674026707191e-07 | 2.4101308528938127e-07 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -2.546123920426441e-13 | 1.0673838516318557e-23 | 0.0 | 1.5058565586444577e-13 | 0.0 |  8.237921033967969e-18 |  2.545063605446887e-17 |                   0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.004598811207523884 | 1.5058565586444577e-13 | 0.0 |   0.002692141845151199 | 0.0 |   6.87964989666292e-07 |  2.994855010216196e-07 |                   0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 | -5.546674026707191e-07 |  8.237921033967969e-18 | 0.0 |   6.87964989666292e-07 | 0.0 | 5.3757284680345416e-06 |  8.840847823991693e-08 |                   0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | 2.4101308528938127e-07 |  2.545063605446887e-17 | 0.0 |  2.994855010216196e-07 | 0.0 |  8.840847823991693e-08 |  4.131722346206382e-06 |                   0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0001153603934492517 |   7.56760897321326e-06 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  7.56760897321326e-06 | 0.00013659007128843438 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |
